datetime;coef_mare_instantaneo;s4;pressao_atm;veloc_vento;Mare_medida
09/08/2022 12:00;37.75197475;0.253;1007.9;2;2.18
09/08/2022 13:00;39.01639495;0.226;1006.7;2.4;2.25
09/08/2022 14:00;56.53764639;0.128;1006;2.6;3.25
09/08/2022 15:00;73.87826637;0.12;1005.5;3.4;4.3
09/08/2022 16:00;87.60625718;0.16;1005.4;3.1;5.08
09/08/2022 17:00;94.10898968;0.114;1005.9;2.4;5.45
09/08/2022 18:00;90.49636051;0.047;1006.5;2.3;5.28
09/08/2022 19:00;77.85215845;0.037;1007.1;1.7;4.56
09/08/2022 20:00;60.69216993;0.034;1007.8;1.3;3.58
09/08/2022 21:00;42.80965557;0.084;1008.5;1.5;2.46
09/08/2022 22:00;28.72040184;0.132;1008.9;1.2;1.55
09/08/2022 23:00;22.39830081;0.095;1005.8;1.7;1.09
10/08/2022 00:00;26.91408726;0.061;1008.6;1.9;1.39
10/08/2022 01:00;39.55828933;0.036;1007.9;1.6;2.26
10/08/2022 02:00;56.89890931;0.044;1007.3;1.2;3.42
10/08/2022 03:00;75.14268657;0.089;1006.9;1.3;4.52
10/08/2022 04:00;90.67699197;0.106;1007;1.2;5.36
10/08/2022 05:00;99.70856488;0.322;1007.2;0.9;5.87
10/08/2022 06:00;98.62477613;0.121;1007.4;0.8;5.83
10/08/2022 07:00;87.24499427;0.055;1008.1;0.8;5.17
10/08/2022 08:00;69.18184846;0.031;1008.5;2.1;4.02
10/08/2022 09:00;48.77049369;0.035;1009;2.6;2.83
10/08/2022 10:00;29.98482205;0.062;1009.3;2.8;1.74
10/08/2022 11:00;16.61809415;0.118;1009;2.7;0.96
10/08/2022 12:00;12.82483353;0.318;1008.4;2.8;0.56
10/08/2022 13:00;20.23072331;0.242;1007.4;3.3;0.91
10/08/2022 14:00;35.76502871;0.176;1006.8;4.4;1.77
10/08/2022 15:00;55.6344891;0.123;1006;3.4;3.38
10/08/2022 16:00;75.32331803;0.163;1006.1;3.4;4.49
10/08/2022 17:00;90.85762343;0.048;1006.2;3.2;5.33
10/08/2022 18:00;98.44414467;0.118;1006.9;1.9;5.76
10/08/2022 19:00;94.28962113;0.03;1006.9;2.4;5.52
10/08/2022 20:00;80.2003674;0.032;1007.6;1.7;4.75
10/08/2022 21:00;60.87280138;0.082;1008.2;1.7;3.62
10/08/2022 22:00;40.82270953;0.183;1008.6;1.5;2.38
10/08/2022 23:00;25.10777268;0.12;1008.7;1.7;1.36
11/08/2022 00:00;17.88251435;0.05;1008.3;1.5;0.81
11/08/2022 01:00;22.94019518;0.03;1007.6;1.3;1.17
11/08/2022 02:00;37.39071183;0.047;1007;1.1;2.12
11/08/2022 03:00;56.89890931;0.076;1006.3;1.7;3.4
11/08/2022 04:00;77.31026407;0.117;1006.3;1.8;4.57
11/08/2022 05:00;94.47025259;0.398;1006.6;1.7;5.51
11/08/2022 06:00;103.8630884;0.125;1007.1;1;6.04
11/08/2022 07:00;101.6955109;0.061;1007.4;1;5.97
11/08/2022 08:00;88.87067739;0.043;1008.1;2.5;5.25
11/08/2022 09:00;69.18184846;0.033;1008.4;3.5;4.07
11/08/2022 10:00;46.96417911;0.063;1008.6;3.5;2.78
11/08/2022 11:00;26.7334558;0.136;1008.6;3.3;1.61
11/08/2022 12:00;12.28293915;0.237;1007.9;3.3;0.65
11/08/2022 13:00;8.128415615;0.419;1007.2;2.6;0.42
11/08/2022 14:00;16.7987256;0.237;1006.2;3.1;0.9
11/08/2022 15:00;34.86187142;0.11;1005.7;3.4;2.18
11/08/2022 16:00;57.26017222;0.183;1005.5;3;3.49
11/08/2022 17:00;79.11657865;0.109;1005.9;3;4.69
11/08/2022 18:00;95.91530426;0.05;1006.1;2.3;5.54
11/08/2022 19:00;102.5986682;0.031;1006.9;2.2;5.92
11/08/2022 20:00;95.91530426;0.044;1007.6;1.6;5.6
11/08/2022 21:00;79.47784157;0.066;1008.1;1.8;4.73
11/08/2022 22:00;57.98269805;0.184;1008.4;1.5;3.49
11/08/2022 23:00;36.48755454;0.102;1008.7;1.8;2.25
12/08/2022 00:00;20.05009185;0.069;1008.8;1.4;1.2
12/08/2022 01:00;13.3667279;0.064;1008.1;1.5;0.68
12/08/2022 02:00;19.86946039;0.051;1007.8;1.2;1.09
12/08/2022 03:00;36.30692308;0.103;1007.5;0.8;2.16
12/08/2022 04:00;57.98269805;0.134;1007.6;0.4;3.52
12/08/2022 05:00;80.2003674;0.193;1008.1;0.1;4.76
12/08/2022 06:00;98.26351321;0.139;1008.7;0.8;5.72
12/08/2022 07:00;107.8369805;0.07;1009;1.2;6.24
12/08/2022 08:00;104.2243513;0.038;1009.5;3.2;6.05
12/08/2022 09:00;89.41257177;0.035;1009.7;3.3;5.23
12/08/2022 10:00;67.55616533;0.091;1010.1;3;3.99
12/08/2022 11:00;43.5321814;0.181;1009.9;3.6;2.65
12/08/2022 12:00;22.21766935;0.296;1009.4;3;1.42
12/08/2022 13:00;7.947784157;0.378;1008.4;3.4;0.6
12/08/2022 14:00;5.78020666;0.181;1007.5;3.1;0.48
12/08/2022 15:00;16.61809415;0.143;1006.7;3;1.06
12/08/2022 16:00;36.48755454;0.166;1006.4;2.9;2.38
12/08/2022 17:00;60.33090701;0.109;1006.7;2.7;3.75
12/08/2022 18:00;83.09047073;0.037;1007.1;2.3;5.02
12/08/2022 19:00;99.88919634;0.035;1007.4;1.6;5.8
12/08/2022 20:00;105.669403;0.046;1008;1.8;6.09
12/08/2022 21:00;97.36035592;0.062;1009;0.9;5.62
12/08/2022 22:00;79.11657865;0.125;1009.4;1.7;4.59
12/08/2022 23:00;55.81512056;0.137;1009.5;0.7;3.29
13/08/2022 00:00;33.05555683;0.045;1009.1;0.9;2.03
13/08/2022 01:00;15.89556831;0.033;1008.5;1.7;1.06
13/08/2022 02:00;9.934730196;0.078;1007.8;1.6;0.62
13/08/2022 03:00;18.24377727;0.291;1007.8;1.6;1.19
13/08/2022 04:00;36.668186;0.126;1007.9;2.1;2.32
13/08/2022 05:00;60.33090701;0.17;1008.1;2.7;3.72
13/08/2022 06:00;83.81299656;0.14;1008.4;1.5;5.02
